t, p_b_vpsp_x, p_b_vpsp_y, FL_cw_vp_x, FL_cw_vp_y, FR_cw_vp_x, FR_cw_vp_y, BL_cw_vp_x, BL_cw_vp_y, BR_cw_vp_x, BR_cw_vp_y, FL_ccw_vp_x, FL_ccw_vp_y, FR_ccw_vp_x, FR_ccw_vp_y, BL_ccw_vp_x, BL_ccw_vp_y, BR_ccw_vp_x, BR_ccw_vp_y, FL_vt_x, FL_vt_y, FR_vt_x, FR_vt_y, BL_vt_x, BL_vt_y, BR_vt_x, BR_vt_y, FL_phase, FR_phase, BL_phase, BR_phase
7.692,-0.006606075593946659,-0.0002721072195644575,0.17593924406053502,0.05918080573474363,0.11166411567042016,-0.100712616294264,-0.07554260379149036,0.09693328154060417,-0.22406075593946503,-0.055895756368578534,0.06954260379149026,0.10913250972149587,0.21806075593946492,-0.040909305196258836,-0.18193924406053513,0.037129970442599004,-0.11766411567042029,-0.10584746035533077,0.29175501490355743,0.20873665292448088,0.4196508578660282,-0.17573351070032578,-0.3049671660914507,0.1644643089362802,-0.4328630090539215,-0.19855588003869312,1,1,1,1
7.704,-0.00765494375827272,-0.0007351148173455335,0.17676868427592,0.05008120130783664,0.12794735995770481,-0.10028084890205183,-0.09074220732018067,0.09590749986621959,-0.22323131572408003,-0.04743840421227241,0.05335230971627529,0.1080234276181079,0.2186025763187621,-0.04932546071509408,-0.18139742368123796,0.04495211167926184,-0.09981494116443533,-0.10538063052254368,0.2809942232197675,0.20252684891071696,0.4244586026529416,-0.17907702301920783,-0.3126846898356067,0.1670012314171856,-0.42338791107019325,-0.19339151657807685,1,1,1,1
7.717,-0.008643095826017563,-0.001192551145640458,0.1778448895687353,0.04039522799548009,0.14250531010072512,-0.0998877122372406,-0.10485029822698942,0.09497349606332504,-0.22215511043126474,-0.03843606922758272,0.03631204704102255,0.10684287743695245,0.21882750593686784,-0.056988613076497,-0.18117249406313216,0.05207439690258143,-0.08062226790355197,-0.10488371866905508,0.26763512994814675,0.19414225450725775,0.42445156911340964,-0.1805030478993031,-0.3175266449459669,0.16784513320483535,-0.40913243741965977,-0.18625454439535183,1,1,1,1
7.729,-0.009544306681350728,-0.0016401650604275023,0.17911652222602864,0.03024487565879555,0.15524340666508776,-0.09953532356183194,-0.11780705319628007,0.09413630026759147,-0.22088347777397138,-0.029002131201871728,0.018598645665901095,0.10560572760147048,0.21871817673440386,-0.06385749189599434,-0.18128182326559616,0.05845846860175387,-0.06036560121384385,-0.10436298314454666,0.2519552149687929,0.18378209412139965,0.4199187316282414,-0.18009976143083056,-0.31956538157690006,0.16707747492102232,-0.3904857917455371,-0.1773204678533014,1,1,1,1
7.742,-0.01034204359780068,-0.002073925381640279,0.18052360872909456,0.01977265476030863,0.16612956355158554,-0.09922440130946562,-0.1295921728591664,0.09339761931486448,-0.21947639127090543,-0.019269042174919745,0.000418681044229513,0.10432934763632674,0.21826869534620957,-0.06991809322295946,-0.18173130465379045,0.06409131122835832,-0.039371463586040364,-0.10382573505093787,0.23432013034934027,0.1717313146565302,0.4113382065634477,-0.1780310198585392,-0.31898711549006215,0.1648462947727977,-0.3680393958139285,-0.1668422910973498,1,1,1,1
7.754,-0.004282419952335706,-0.0027696248760513548,0.18649997678122263,0.008484166417428544,0.17613993015206095,-0.09889540679733563,-0.13926951708629412,0.09261834213309895,-0.2135000232187774,-0.009104006190313187,-0.013499908558148671,0.10238125794770755,0.21843520653288342,-0.07531892001827671,-0.1815647934671166,0.06904185535404003,-0.013500137879406099,-0.10300109772059218,0.22770739582571325,0.15652399869998362,0.40028511210193857,-0.17456091268367752,-0.3151245402096591,0.16131370789803415,-0.32999764752733557,-0.15435529341854567,0,1,1,0
7.767,0.004057214908397111,-0.0035199485108195795,0.195106782219177,-0.012982984226071165,0.18401678414755354,-0.098613724904147,-0.14821505339067287,0.09199491780397456,-0.20489321778082303,0.010757271085555624,-0.04437534122069549,0.09945045455486914,0.21790086537844033,-0.0798912804157013,-0.1820991346215597,0.07327247331552887,0.03458890565904944,-0.10167616769538468,0.198959743114227,0.12470977013857011,0.3663123336455786,-0.1611432275198662,-0.2936443344019256,0.1486970084408874,-0.25539888272429156,-0.12634334510286963,0,1,1,0
7.779,0.009950166350897204,-0.004521858509951144,0.20156192100685594,-0.03298962547865915,0.1899605585489252,-0.09849283847762519,-0.1564075771727599,0.09149107197029747,-0.1984380789931441,0.02884281062936212,-0.0750217044334994,0.09686243893468482,0.21677649068808266,-0.0837135213629036,-0.18322350931191736,0.07671175485557588,0.07814554644721122,-0.10100925378398184,0.16680644987315263,0.09422191408869593,0.3316792275329135,-0.14745629894758175,-0.27178996382195714,0.13586387296252217,-0.1868950481805202,-0.10071692214344093,0,1,1,0
7.792,0.013345386128780813,-0.004936025662469871,0.20576154579125724,-0.05046721417819768,0.19418753752724935,-0.09830231047736257,-0.1638521761771549,0.09110292651385063,-0.1942384542087428,0.04524351607027116,-0.1035832378476855,0.094765746403116,0.21516768067504724,-0.08684148645546307,-0.18483231932495278,0.07964210249195113,0.11510632943019995,-0.09998944451104251,0.13398765783346545,0.06713822844098188,0.2993412866710926,-0.13462557259970065,-0.2514792058214762,0.12397678665948537,-0.1284681941679586,-0.07623354515064609,0,1,1,0
7.804,0.014444774274312198,-0.005227113768557123,0.2078590883672019,-0.06486547669031725,0.19691689905173745,-0.09814854552298298,-0.17057415542329626,0.09080109181328533,-0.19214091163279812,0.05881611347873693,-0.12866614156348202,0.09312831547326855,0.2131713718142206,-0.08936195595153779,-0.18682862818577942,0.08201450224184013,0.14438431829788584,-0.09917767868484888,0.1029516250911746,0.044524483663846134,0.27133886764351556,-0.12357576905307524,-0.23419745512665063,0.11376631887104469,-0.08231394051079075,-0.05562348855604407,0,1,1,0
7.817,0.01363028815856722,-0.005473742636730864,0.20819342512572592,-0.07588434120801112,0.19835957123993467,-0.09808325705796261,-0.17661211910856942,0.09060740992206716,-0.19180657487427408,0.0691663244910589,-0.14951129849345163,0.09205292094336455,0.21087372606568264,-0.09131166372778096,-0.18912627393431738,0.0838358165918855,0.16589814874490347,-0.09877093766031676,0.07545615519438506,0.027232097589101376,0.24863908647679447,-0.11476103478503391,-0.22079086327396547,0.10562962635963181,-0.04878322576294519,-0.03999565971062274,0,1,1,0
7.829,0.011364574175879355,-0.005655798010443313,0.20718992458060684,-0.08399597668378683,0.19870928719862138,-0.09801742674059435,-0.18201068881753119,0.09043448346056107,-0.19281007541939318,0.07678959795754527,-0.16599414328023573,0.09120861664941424,0.2083492991905451,-0.09283395922657801,-0.1916507008094549,0.08525101594654473,0.1803739924414494,-0.0984149953756558,0.05240421085930713,0.014281016506946867,0.2312522323074029,-0.10823208992222152,-0.21144709044200782,0.0996089233766545,-0.02675105602118477,-0.028281042003153095,0,1,1,0
7.842,0.008099227730242582,-0.005658992170763044,0.2052685487256882,-0.08942105255365305,0.19813598043375089,-0.09794380064415241,-0.1868132644155332,0.0903435235460882,-0.19473145127431182,0.08204582242340874,-0.17847697851182867,0.09074199521117006,0.20566135800910884,-0.09391770981704767,-0.19433864199089118,0.08631743271898346,0.18901407596320505,-0.09811722534141437,0.03392713070798656,0.005695342759612754,0.21853321264689723,-0.10375096255749255,-0.20583875007858085,0.09548561680005653,-0.014224682355332585,-0.020065965685228906,0,1,1,0
7.854,0.004214680668676189,-0.005708199555968081,0.20278309973018166,-0.09285583976818898,0.19678146752094938,-0.09789517387738522,-0.19105514376697127,0.09026030308318772,-0.19721690026981833,0.08531424343225083,-0.18757688827789462,0.0904126029189501,0.20286316187698905,-0.0946787189454518,-0.19713683812301094,0.0870438481512543,0.19314308773825795,-0.09795419925488826,0.019650418442454742,0.00017551631728528194,0.2095449876640699,-0.10094843984910741,-0.20336020393112067,0.09290465413018575,-0.008976479500699214,-0.01496452882223595,0,1,1,0
7.867,-8.326672684688674e-17,-0.005764923783353363,0.19999999999999996,-0.0946974420543097,0.19475723061649963,-0.09789558869817265,-0.19475723061649974,0.09020825579500313,-0.20000000000000007,0.08702722407266673,-0.1939183056439604,0.09024157997432981,0.19999999999999996,-0.09512462953410727,-0.20000000000000007,0.08743729663093776,0.1939183056439603,-0.09791179795597278,0.009042829231635269,-0.0027874982323160963,0.20338059736186534,-0.09944723336996,-0.20338059736186545,0.09152134177262342,-0.00904282923163549,-0.012346305303760768,0,1,1,0
7.879,-0.0043323390362041345,-0.005755411756087042,0.1971117739758639,-0.09526217691734003,0.192144041715243,-0.09787371675675427,-0.19792049376351517,0.09019983441530488,-0.2028882260241361,0.08758829457589064,-0.19792049376351517,0.09019983441530488,0.1971117739758639,-0.09526217691734003,-0.2028882260241361,0.08758829457589064,0.192144041715243,-0.09787371675675427,0.0017597060850157997,-0.0036818974226863616,0.19938768854475172,-0.09897836961550625,-0.20545665189680318,0.09109026980122277,-0.013020098877780883,-0.011451649787378324,0,1,1,0
7.892,-0.00860836144284955,-0.0057422870167414194,0.19427367624602176,-0.09471150185340373,0.18899315523875712,-0.09785744942317866,-0.2005213059942422,0.09019613544170799,-0.2057263237539783,0.08707146622724335,-0.1996446293979386,0.09022752017523579,0.19423592462225747,-0.09513674988740242,-0.20576407537774255,0.08747543590593175,0.18819198188998204,-0.09786755580139617,-0.002077258471353066,-0.0028293090681770217,0.19728396217915484,-0.0994468377721369,-0.209477232544576,0.09152173737044654,-0.020162916934623965,-0.01221473859709829,0,1,1,0
7.904,-0.0126440420060289,-0.005716723557213633,0.1916507008094548,-0.09293689648005461,0.18532882001299295,-0.09785120695558684,-0.2025077912749277,0.09020916599461506,-0.2083492991905452,0.08538393480912239,-0.1987092871986215,0.09033154620708447,0.1914105143690326,-0.09472985603402445,-0.20858948563096738,0.08708781507305267,0.18201068881753107,-0.0978845078780167,-0.001697459441056759,-6.518900757625234e-05,0.19717542019817122,-0.10094861265034163,-0.21572977139701938,0.09290448132895154,-0.030324357384210687,-0.014757573899888188,0,1,1,0
7.917,-0.016198455460485497,-0.005639204514800673,0.18946290254862344,-0.0896324627966,0.18115190640642417,-0.09783370860748328,-0.20379733844285988,0.09024564636946601,-0.21053709745137658,0.08228361620763885,-0.19428262468889343,0.09053058496822311,0.18867728398178216,-0.09401558699366985,-0.21132271601821787,0.08642752475565259,0.1732084297861403,-0.09787943155718426,0.004373458179005196,0.005069066740279279,0.19949151879442242,-0.10375046619221773,-0.22488044393105563,0.09548611316533136,-0.043778354884313975,-0.0193615317725956,0,1,1,0
7.929,-0.018940956959799173,-0.005625487411970494,0.18801679236565516,-0.08435208346533363,0.17644448935716764,-0.09787488213930928,-0.20427548665898493,0.09030646726382019,-0.21198320763434486,0.07718611887038915,-0.1851672754951874,0.09085250986786744,0.18608450134909135,-0.0929619754233189,-0.21391549865090864,0.0853935605478298,0.1612008602264977,-0.09801847446281192,0.01820000440847705,0.013229860530529075,0.20484537648687592,-0.10823111594044565,-0.2378539462625348,0.09960989735843037,-0.060955262472014854,-0.02711059159639577,0,1,1,0
7.942,-0.02044543223785108,-0.005817395726736431,0.18770986231141099,-0.07675765364032577,0.17117525607572798,-0.09796043649419812,-0.20379643427277616,0.09034901778175261,-0.21229013768858904,0.06958143280336614,-0.16999486130776656,0.09117960851104989,0.18368941090147592,-0.09157005586809551,-0.2163105890985241,0.08395863715565,0.1454145859305885,-0.09835582934800953,0.04211499340508498,0.024666804127103592,0.21382880747325805,-0.11477536987828284,-0.2556011422775019,0.10561529126638289,-0.08212438755224541,-0.038776308422149366,0,1,1,0
7.954,-0.02022268398403727,-0.006091678556339811,0.18899727628591723,-0.06582513576940913,0.16530560669760788,-0.09819799258192348,-0.20218544777742584,0.09055534452904414,-0.2110027237140828,0.058623019507451885,-0.14752795364476667,0.09216865639417665,0.18156007946009103,-0.08960770323577898,-0.218439920539909,0.08196505518289963,0.1255225062166011,-0.0993707726561339,0.0781864035947138,0.041723500188382306,0.2267691726232775,-0.12362261253572329,-0.2787671501468887,0.11371947538839663,-0.10707916200725169,-0.05618707726641489,0,1,1,0
7.967,-0.01779384817170801,-0.005422759405253136,0.19231793894499025,-0.051739327166755895,0.15879628261880566,-0.09815809975244652,-0.19924343108559858,0.09080852412123123,-0.20768206105500978,0.04586665073511835,-0.1170268446939525,0.09349363341455777,0.17977642576660355,-0.08713588884808246,-0.22022357423339647,0.07978631321686717,0.10166272258393297,-0.09936630984619532,0.12754828355704048,0.06345533503830786,0.2435021923465399,-0.1346596117450288,-0.3073183001460289,0.12394274751415718,-0.1349075684443835,-0.07442950842844878,0,1,1,0
7.979,-0.012793071022582397,-0.006450902961426929,0.19799181584832798,-0.03642814323531067,0.15161429411902186,-0.09830457422096583,-0.19475384160266326,0.09074395021153042,-0.20200818415167202,0.029709269117379263,-0.07859180959202731,0.0934239211780333,0.1784302262581793,-0.08446064312167065,-0.2215697737418207,0.07690001911223524,0.07457544128868329,-0.1001427952959647,0.1897648479387152,0.08436739611284964,0.2632343547203917,-0.14762872936459573,-0.34023483663447895,0.1356914425455082,-0.1639366501149575,-0.09823372113946982,0,1,1,0
7.992,-0.005071518635496673,0.0013500168869780282,0.20611652222602866,-0.0134993814913947,0.14373983704606266,-0.09713403477357492,-0.18849200049216375,0.09188591033850965,-0.19388347777397139,0.01776695554794263,-0.03336560121384388,0.09893405728954563,0.17762391827694948,-0.08000028788116621,-0.22237608172305057,0.07475216344610094,0.045598645665901154,-0.0946664832329977,0.2624537751755492,0.12324806657702768,0.28456083449646874,-0.16059317984276422,-0.37539583355103534,0.14924705611798933,-0.19190485066296922,-0.10650187530434067,0,1,1,0
8.004,-0.0015159840565827573,0.0031210491965466963,0.21199997420135847,0.00723433625813847,0.13422116080486252,-0.09697013652274578,-0.18118828643349255,0.09235405819190419,-0.1880000257986415,5.159728292541965e-08,0.01199985954072974,0.10113153545147471,0.176516437185685,-0.07558320395947148,-0.22348356281431503,0.07096712562862989,0.012000088861987224,-0.0938971475960533,0.32881442287918444,0.15303897012692932,0.3047104320328594,-0.17373032011548306,-0.4106988101322531,0.1621441079083079,-0.2288899810061217,-0.1289685611335674,1,1,1,1
